"curs_nombre","campr_id","rcam_anio","rcam_mes","campr_nombre","camp_descripcion","camp_tipo","camp_costo","camp_fecha_desde","rcam_impresiones","rcam_alcance","total_enseguimiento","total_abandonados","total_matriculados","rcam_clics_enlace","rcam_ctr","rcam_costo_cpc","rcam_costo_por_resultado","rcam_reacciones","rcam_frecuencia","rcam_gasto","rcam_comentarios"
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",480,360,33,1,1,1,1.875,0.02333333,0.21,1,1.3333333333333,0.21,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",11478,7192,33,1,1,102,1.72503921,0.01722222,0.03343137254902,4,1.5959399332592,3.41,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",10222,7304,33,1,1,65,1.1445901,0.02247863,0.040461538461538,5,1.3995071193866,2.63,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",4189,3096,33,1,1,37,2.19622822,0.01913043,0.047567567567568,3,1.3530361757106,1.76,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",4151,3088,33,1,1,38,1.46952542,0.02409836,0.038684210526316,1,1.3442357512953,1.47,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",2819,2184,33,1,1,26,1.73820504,0.02020408,0.038076923076923,4,1.2907509157509,0.99,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",11705,8064,33,1,1,83,1.1875267,0.02251799,0.037710843373494,4,1.4515128968254,3.13,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",17,0,33,1,1,1,5.88235294,0,0,0,0,0,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",1212,888,33,1,1,10,1.40264026,0.02411765,0.041,0,1.3648648648649,0.41,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",19,8,33,1,1,0,0,0,0,0,2.375,0,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",19,8,33,1,1,0,0,0,0,0,2.375,0.01,0
"Electricidad Automotriz","23855050874090366",2023,6,"[20/06/2023] Promoción de http://bit.ly/3X2snzK","Electricidad Automotriz Julio 2023","INFOGRAFIA",18,"2023-06-20 00:00:00",2,0,33,1,1,0,50,0,0,0,0,0,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",3,2,32,0,0,0,0,0,0,0,1.5,0,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",340,212,32,0,0,3,4.11764706,0.07642857,0,3,1.6037735849057,1.07,2
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",1231,718,32,0,0,7,3.24939074,0.08225,0,4,1.7144846796657,3.29,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",3274,1962,32,0,0,20,2.13805742,0.09214286,0,9,1.6687054026504,6.45,1
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",3660,2062,32,0,0,13,1.66666667,0.08442623,0,5,1.7749757516974,5.15,1
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",236,170,32,0,0,2,4.66101695,0.05181818,0,1,1.3882352941176,0.57,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",1068,584,32,0,0,1,0.56179775,0.18,0,1,1.8287671232877,1.08,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",5,2,32,0,0,0,0,0,0,0,2.5,0,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",6,6,32,0,0,0,0,0,0,0,1,0.04,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",88,76,32,0,0,0,0,0,0,0,1.1578947368421,0.23,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",126,56,32,0,0,0,0.79365079,0.11,0,0,2.25,0.11,0
"Taller paneles solares","23855073451200366",2023,6,"Publicación: ""ÚNETE A LA REVOLUCIÓN ENERGÉTICA! ""","Paneles Solares Taller julio 2023","INFOGRAFIA",15,"2023-06-20 00:00:00",6,0,32,0,0,0,0,0,0,0,0,0.01,0
